Ticker,Date,StockPrice,BookValuePerShare,PB
LLY,2012-01-01,34.0325,,2.625
LLY,2013-01-01,40.7125,,2.8449999999999998
LLY,2014-01-01,51.9075,,3.3649999999999998
LLY,2015-01-01,67.89,,5.0600000000000005
LLY,2016-01-01,65.475,,4.865
LLY,2017-01-01,74.225,,6.01
LLY,2018-01-01,87.4425,,7.4725
LLY,2019-01-01,112.015,,38.0025
LLY,2020-01-01,146.5525,,31.725
LLY,2021-01-01,222.26500000000001,,27.6
LLY,2022-01-01,317.1575,,30.935
LLY,2023-01-01,476.90999999999997,,40.68
LLY,2024-01-01,830.21,,57.255
LLY,2025-01-01,732.54,,43.81
MA,2010-01-01,20.785,,6.1450000000000005
MA,2011-01-01,28.73,,6.47
MA,2012-01-01,41.540000000000006,,7.8175
MA,2013-01-01,60.975,,10.1125
MA,2014-01-01,71.99,,12.705
MA,2015-01-01,86.375,,15.535
MA,2016-01-01,91.8325,,17.240000000000002
MA,2017-01-01,125.74000000000001,,22.84
MA,2018-01-01,188.10500000000002,,35.165
MA,2019-01-01,258.55,,49.715
MA,2020-01-01,299.365,,49.24
MA,2021-01-01,348.5775,,50.845
MA,2022-01-01,320.20500000000004,,47.3525
MA,2023-01-01,389.95,,60.800000000000004
MA,2024-01-01,482.65,,62.3375
MA,2025-01-01,553.865,,75.27
NFLX,2010-01-01,18.580000000000002,,33.64
NFLX,2011-01-01,24.395,,26.9725
NFLX,2012-01-01,11.805,,6.5725
NFLX,2013-01-01,38.4925,,13.9975
NFLX,2014-01-01,56.62,,14.3975
NFLX,2015-01-01,92.755,,18.817500000000003
NFLX,2016-01-01,104.015,,17.93
NFLX,2017-01-01,167.6325,,22.2425
NFLX,2018-01-01,332.14250000000004,,31.18
NFLX,2019-01-01,328.7675,,22.3725
NFLX,2020-01-01,467.825,,21.04
NFLX,2021-01-01,565.6625,,17.335
NFLX,2022-01-01,269.945,,6.2475000000000005
NFLX,2023-01-01,412.6125,,8.325000000000001
NFLX,2024-01-01,720.7,,13.525
NFLX,2025-01-01,1150.6766666666665,,19.81
XOM,2010-01-01,36.722500000000004,,1.295
XOM,2011-01-01,46.8925,,1.41
XOM,2012-01-01,52.145,,1.4175
XOM,2013-01-01,56.205,,1.405
XOM,2014-01-01,60.45,,1.3900000000000001
XOM,2015-01-01,51.917500000000004,,1.2175
XOM,2016-01-01,59.565,,1.4
XOM,2017-01-01,57.1475,,1.2875
XOM,2018-01-01,56.205,,1.215
XOM,2019-01-01,56.2975,,1.2
XOM,2020-01-01,31.8675,,0.745
XOM,2021-01-01,51.6675,,1.3
XOM,2022-01-01,82.95,,1.8125
XOM,2023-01-01,101.7975,,1.9525
XOM,2024-01-01,110.62,,1.8425
XOM,2025-01-01,110.53333333333335,,1.75
COST,2010-01-01,43.597500000000004,,1.7175
COST,2011-01-01,58.2475,,2.045
COST,2012-01-01,68.7075,,2.325
COST,2013-01-01,89.0925,,3.59
COST,2014-01-01,99.6925,,3.585
COST,2015-01-01,124.02000000000001,,5.050000000000001
COST,2016-01-01,129.625,,4.7875
COST,2017-01-01,154.505,,6.0225
COST,2018-01-01,192.79000000000002,,6.6125
COST,2019-01-01,240.255,,6.93
COST,2020-01-01,305.93,,8.0025
COST,2021-01-01,405.82,,10.155
COST,2022-01-01,490.5525,,10.5275
COST,2023-01-01,516.175,,9.3675
COST,2024-01-01,849.6225000000001,,16.595
COST,2025-01-01,1020.6633333333333,,17.033333333333335
PLTR,2020-01-01,16.525,,13.86
PLTR,2021-01-01,22.975,,21.52
PLTR,2022-01-01,9.3375,,8.0075
PLTR,2023-01-01,14.2375,,9.6225
PLTR,2024-01-01,40.2925,,20.02
PLTR,2025-01-01,134.30666666666664,,53.82333333333333
JNJ,2010-01-01,40.1275,,2.01
JNJ,2011-01-01,42.769999999999996,,1.9449999999999998
JNJ,2012-01-01,47.3925,,2.09
JNJ,2013-01-01,62.1075,,2.4924999999999997
JNJ,2014-01-01,76.5,,2.86
JNJ,2015-01-01,74.89,,2.9425
JNJ,2016-01-01,90.52,,3.4275
JNJ,2017-01-01,105.765,,4.15
JNJ,2018-01-01,106.53,,4.555
JNJ,2019-01-01,117.4175,,5.2225
JNJ,2020-01-01,125.86999999999999,,5.255
JNJ,2021-01-01,147.7725,,5.5675
JNJ,2022-01-01,159.155,,5.5175
JNJ,2023-01-01,149.1675,,5.2
JNJ,2024-01-01,148.48,,5.05
JNJ,2025-01-01,162.90333333333334,,5.0
HD,2010-01-01,21.4225,,1.8525
HD,2011-01-01,26.0325,,2.255
HD,2012-01-01,38.832499999999996,,3.3049999999999997
HD,2013-01-01,56.155,,5.1375
HD,2014-01-01,64.6175,,7.6525
HD,2015-01-01,89.0875,,13.3525
HD,2016-01-01,104.5,,20.78
HD,2017-01-01,125.19999999999999,,43.4725
HD,2018-01-01,159.45,,115.4625
HD,2019-01-01,180.0325,,-140.5025
HD,2020-01-01,216.63,,-143.455
HD,2021-01-01,292.68,,187.7875
HD,2022-01-01,291.745,,262.52000000000004
HD,2023-01-01,294.5375,,353.8725
HD,2024-01-01,352.6575,,161.7725
HD,2025-01-01,383.76,,51.339999999999996
PG,2010-01-01,39.9075,,1.7650000000000001
PG,2011-01-01,42.4325,,1.7675
PG,2012-01-01,45.675,,1.91
PG,2013-01-01,55.1975,,2.185
PG,2014-01-01,61.1475,,2.4425
PG,2015-01-01,58.7975,,2.5375
PG,2016-01-01,66.52499999999999,,3.05
PG,2017-01-01,72.46000000000001,,3.3425000000000002
PG,2018-01-01,69.2025,,3.2225
PG,2019-01-01,99.435,,5.11
PG,2020-01-01,111.8325,,5.8149999999999995
PG,2021-01-01,129.48250000000002,,6.8
PG,2022-01-01,132.6975,,6.9525
PG,2023-01-01,140.5075,,7.005
PG,2024-01-01,162.37,,7.4775
PG,2025-01-01,159.97,,7.156666666666666
ABBV,2012-01-01,20.47,,0.0
ABBV,2013-01-01,27.6425,,12.105
ABBV,2014-01-01,36.7625,,18.2375
ABBV,2015-01-01,39.2625,,21.299999999999997
ABBV,2016-01-01,41.67,,12.79
ABBV,2017-01-01,57.2,,16.17
ABBV,2018-01-01,68.4325,,-11.915
ABBV,2019-01-01,61.055,,-11.035
ABBV,2020-01-01,75.0925,,4.415
ABBV,2021-01-01,99.1225,,12.65
ABBV,2022-01-01,135.88,,14.969999999999999
ABBV,2023-01-01,138.27,,20.27
ABBV,2024-01-01,175.0625,,56.6475
ABBV,2025-01-01,196.23666666666668,,-702.5566666666667
SAP,2010-01-01,37.0775,,0.0
SAP,2011-01-01,44.07,,0.0
SAP,2012-01-01,56.144999999999996,,1.0325
SAP,2013-01-01,63.94,,0.96
SAP,2014-01-01,62.6875,,0.6725
SAP,2015-01-01,61.0125,,0.7825
SAP,2016-01-01,72.22,,0.83
SAP,2017-01-01,93.3625,,0.9925
SAP,2018-01-01,98.8625,,0.78
SAP,2019-01-01,113.9975,,1.05
SAP,2020-01-01,123.135,,1.0775
SAP,2021-01-01,125.4625,,0.82
SAP,2022-01-01,92.195,,0.675
SAP,2023-01-01,133.4425,,0.99
SAP,2024-01-01,215.525,,1.5125
SAP,2025-01-01,288.56,,0.0
BAC,2010-01-01,11.515,,0.5025
BAC,2011-01-01,7.0825,,0.315
BAC,2012-01-01,7.567500000000001,,0.3475
BAC,2013-01-01,10.82,,0.495
BAC,2014-01-01,13.4825,,0.595
BAC,2015-01-01,13.095,,0.5375
BAC,2016-01-01,13.235,,0.505
BAC,2017-01-01,21.3725,,0.8049999999999999
BAC,2018-01-01,23.752499999999998,,0.8925
BAC,2019-01-01,26.1725,,0.9
BAC,2020-01-01,22.06,,0.71
BAC,2021-01-01,37.8225,,1.155
BAC,2022-01-01,31.385,,0.9375
BAC,2023-01-01,28.1725,,0.7825
BAC,2024-01-01,39.5025,,1.0375
BAC,2025-01-01,43.205,,1.105
KO,2010-01-01,18.16,,3.0275
KO,2011-01-01,22.0825,,3.0225
KO,2012-01-01,25.17,,3.4125
KO,2013-01-01,27.5175,,3.705
KO,2014-01-01,29.4375,,3.9325
KO,2015-01-01,29.817500000000003,,4.74
KO,2016-01-01,33.1475,,5.6475
KO,2017-01-01,34.815,,6.9350000000000005
KO,2018-01-01,36.55,,7.715
KO,2019-01-01,43.3425,,9.0475
KO,2020-01-01,41.68,,8.870000000000001
KO,2021-01-01,48.65,,8.7925
KO,2022-01-01,56.08,,9.530000000000001
KO,2023-01-01,56.0325,,8.83
KO,2024-01-01,63.1225,,9.895
KO,2025-01-01,70.76333333333334,,10.386666666666665
GE,2010-01-01,59.4,,0.6475
GE,2011-01-01,65.69749999999999,,0.695
GE,2012-01-01,80.1675,,0.84
GE,2013-01-01,96.2625,,0.9325
GE,2014-01-01,104.33500000000001,,0.9375
GE,2015-01-01,113.065,,1.2375
GE,2016-01-01,134.71,,1.7725
GE,2017-01-01,109.84,,1.5025
GE,2018-01-01,52.964999999999996,,0.9475
GE,2019-01-01,49.2375,,1.385
GE,2020-01-01,38.7575,,1.175
GE,2021-01-01,62.7225,,1.8425
GE,2022-01-01,46.18,,1.4
GE,2023-01-01,87.545,,3.11
GE,2024-01-01,162.5725,,8.425
GE,2025-01-01,242.96666666666667,,13.316666666666668
AMD,2010-01-01,7.97,,6.9525
AMD,2011-01-01,6.5175,,2.7824999999999998
AMD,2012-01-01,4.88,,3.645
AMD,2013-01-01,3.5774999999999997,,6.02
AMD,2014-01-01,3.5700000000000003,,7.1000000000000005
AMD,2015-01-01,2.4175,,24.887500000000003
AMD,2016-01-01,6.56,,6.932499999999999
AMD,2017-01-01,12.515,,25.5475
AMD,2018-01-01,18.5975,,18.0825
AMD,2019-01-01,32.685,,16.6525
AMD,2020-01-01,67.94749999999999,,20.1875
AMD,2021-01-01,104.8075,,17.8775
AMD,2022-01-01,78.485,,2.3025
AMD,2023-01-01,115.5375,,3.3725
AMD,2024-01-01,156.8925,,4.4775
AMD,2025-01-01,139.00333333333333,,3.8066666666666666
CSCO,2010-01-01,15.6,,2.0324999999999998
CSCO,2011-01-01,12.035,,1.4075
CSCO,2012-01-01,12.185,,1.275
CSCO,2013-01-01,15.4125,,1.4275
CSCO,2014-01-01,16.7925,,1.53
CSCO,2015-01-01,20.545,,1.77
CSCO,2016-01-01,21.25,,1.7075
CSCO,2017-01-01,25.490000000000002,,1.9475
CSCO,2018-01-01,35.1025,,3.555
CSCO,2019-01-01,42.8075,,5.1
CSCO,2020-01-01,36.682500000000005,,4.2225
CSCO,2021-01-01,45.76,,4.7175
CSCO,2022-01-01,44.415,,4.59
CSCO,2023-01-01,47.0025,,4.4125
CSCO,2024-01-01,48.5625,,4.2675
CSCO,2025-01-01,62.373333333333335,,5.403333333333333
ASML,2010-01-01,30.935000000000002,,0.0
ASML,2011-01-01,37.635,,0.0
ASML,2012-01-01,51.6625,,0.0
ASML,2013-01-01,75.4525,,0.0
ASML,2014-01-01,88.00666666666666,,0.0
ASML,2015-01-01,86.35,,0.925
ASML,2016-01-01,96.325,,1.0175
ASML,2017-01-01,140.49,,1.425
ASML,2018-01-01,172.4725,,1.1125
ASML,2019-01-01,221.995,,2.09
ASML,2020-01-01,354.7525,,3.07
ASML,2021-01-01,684.3625,,6.4325
ASML,2022-01-01,510.3025,,5.66
ASML,2023-01-01,674.6875,,5.035
ASML,2024-01-01,870.2875,,3.3825
ASML,2025-01-01,723.8533333333334,,0.0
TMUS,2010-01-01,15.467500000000001,,1.1125
TMUS,2011-01-01,20.495,,1.3425
TMUS,2012-01-01,14.8025,,0.9724999999999999
TMUS,2013-01-01,24.9225,,1.42
TMUS,2014-01-01,29.775,,1.635
TMUS,2015-01-01,36.32,,1.8325
TMUS,2016-01-01,45.175,,2.1025
TMUS,2017-01-01,60.870000000000005,,2.515
TMUS,2018-01-01,61.894999999999996,,2.205
TMUS,2019-01-01,73.03999999999999,,2.275
TMUS,2020-01-01,106.47,,2.2625
TMUS,2021-01-01,125.165,,2.3025
TMUS,2022-01-01,130.8125,,2.335
TMUS,2023-01-01,142.4475,,2.58
TMUS,2024-01-01,189.37,,3.51
TMUS,2025-01-01,248.97333333333336,,4.61
BABA,2014-01-01,93.565,,10.29
BABA,2015-01-01,74.1975,,1.985
BABA,2016-01-01,85.4575,,1.225
BABA,2017-01-01,144.1125,,1.4175
BABA,2018-01-01,162.8075,,1.6475
BABA,2019-01-01,177.445,,1.2625
BABA,2020-01-01,227.3525,,1.03
BABA,2021-01-01,174.8075,,1.49
BABA,2022-01-01,94.7775,,0.4175
BABA,2023-01-01,85.135,,0.3925
BABA,2024-01-01,83.0025,,0.695
BABA,2025-01-01,126.07499999999999,,1.96
PM,2010-01-01,26.3725,,10.6025
PM,2011-01-01,35.38,,45.37
PM,2012-01-01,46.89,,11.982499999999995
PM,2013-01-01,48.94,,-14.6325
PM,2014-01-01,47.985,,-8.8325
PM,2015-01-01,49.145,,-6.3950000000000005
PM,2016-01-01,61.78,,-8.94
PM,2017-01-01,73.9075,,-11.2925
PM,2018-01-01,56.7825,,-8.557500000000001
PM,2019-01-01,60.16,,-9.7625
PM,2020-01-01,58.857499999999995,,-8.725
PM,2021-01-01,77.975,,-13.695
PM,2022-01-01,81.9925,,-17.66
PM,2023-01-01,87.525,,-17.080000000000002
PM,2024-01-01,105.2675,,-19.3375
PM,2025-01-01,169.28,,-18.596666666666668
WFC,2010-01-01,18.9,,0.8075
WFC,2011-01-01,18.9025,,0.7224999999999999
WFC,2012-01-01,23.682499999999997,,0.82
WFC,2013-01-01,29.49,,0.935
WFC,2014-01-01,38.4025,,1.105
WFC,2015-01-01,40.822500000000005,,1.0875
WFC,2016-01-01,37.9325,,0.95
WFC,2017-01-01,45.432500000000005,,1.0925
WFC,2018-01-01,42.4875,,0.9975
WFC,2019-01-01,42.665,,0.9475
WFC,2020-01-01,24.072499999999998,,0.5425
WFC,2021-01-01,40.6025,,0.8575
WFC,2022-01-01,39.1425,,0.8225
WFC,2023-01-01,40.5375,,0.8075
WFC,2024-01-01,59.845,,1.115
WFC,2025-01-01,76.19,,1.3466666666666667
TM,2010-01-01,49.835,,0.625
TM,2011-01-01,50.275,,0.5875
TM,2012-01-01,58.4025,,0.6675
TM,2013-01-01,83.3275,,0.9375
TM,2014-01-01,86.11,,0.8925
TM,2015-01-01,95.525,,0.9750000000000001
TM,2016-01-01,84.5575,,0.78
TM,2017-01-01,91.4625,,0.7749999999999999
TM,2018-01-01,102.4675,,0.8275
TM,2019-01-01,109.565,,0.8200000000000001
TM,2020-01-01,116.5225,,0.8300000000000001
TM,2021-01-01,156.2575,,1.9124999999999999
TM,2022-01-01,138.57,,0.87
TM,2023-01-01,158.2525,,0.95
