Ticker,Date,ROE,NetIncome
CMCSA,2016-01-01,15.3575,
CMCSA,2017-01-01,22.2525,
CMCSA,2018-01-01,30.769999999999996,
CMCSA,2019-01-01,16.39,
CMCSA,2020-01-01,13.1625,
CMCSA,2021-01-01,14.1275,
CMCSA,2022-01-01,10.3775,
CMCSA,2023-01-01,12.805,
CMCSA,2024-01-01,18.28,
CMCSA,2025-01-01,22.0,
MDT,2010-01-01,21.2475,
MDT,2011-01-01,20.815,
MDT,2012-01-01,20.87,
MDT,2013-01-01,20.0075,
MDT,2014-01-01,16.4325,
MDT,2015-01-01,9.477500000000001,
MDT,2016-01-01,6.7175,
MDT,2017-01-01,8.4925,
MDT,2018-01-01,5.5875,
MDT,2019-01-01,9.285,
MDT,2020-01-01,8.86,
MDT,2021-01-01,7.38,
MDT,2022-01-01,9.295,
MDT,2023-01-01,7.4875,
MDT,2024-01-01,7.9175,
MDT,2025-01-01,9.115,
COP,2010-01-01,14.1325,
COP,2011-01-01,17.1375,
COP,2012-01-01,17.735,
COP,2013-01-01,16.4,
COP,2014-01-01,16.2075,
COP,2015-01-01,0.7525000000000002,
COP,2016-01-01,-14.9275,
COP,2017-01-01,-6.4675,
COP,2018-01-01,12.9625,
COP,2019-01-01,22.622500000000002,
COP,2020-01-01,1.2825000000000002,
COP,2021-01-01,8.73,
COP,2022-01-01,34.265,
COP,2023-01-01,26.37,
COP,2024-01-01,20.2575,
COP,2025-01-01,16.62,
DASH,2020-01-01,-41.19,
DASH,2021-01-01,-13.316666666666668,
DASH,2022-01-01,-15.087499999999999,
DASH,2023-01-01,-15.82,
DASH,2024-01-01,-3.2325,
DASH,2025-01-01,4.39,
SNPS,2010-01-01,12.377500000000001,
SNPS,2011-01-01,9.1075,
SNPS,2012-01-01,8.765,
SNPS,2013-01-01,8.7475,
SNPS,2014-01-01,8.754999999999999,
SNPS,2015-01-01,8.01,
SNPS,2016-01-01,7.7875,
SNPS,2017-01-01,7.932499999999999,
SNPS,2018-01-01,4.82,
SNPS,2019-01-01,16.045,
SNPS,2020-01-01,13.2525,
SNPS,2021-01-01,15.465,
SNPS,2022-01-01,18.245,
SNPS,2023-01-01,18.0225,
SNPS,2024-01-01,24.025,
SNPS,2025-01-01,24.759999999999998,
SNY,2010-01-01,29.435,
SNY,2011-01-01,22.59,
SNY,2012-01-01,22.5,
SNY,2013-01-01,11.39,
SNY,2014-01-01,10.27,
SNY,2015-01-01,8.01,
SNY,2016-01-01,22.997500000000002,
SNY,2017-01-01,30.9625,
SNY,2018-01-01,14.55,
SNY,2019-01-01,29.869999999999997,
SNY,2020-01-01,0.0,
SNY,2021-01-01,18.08,
SNY,2022-01-01,34.223333333333336,
SNY,2023-01-01,21.0475,
SNY,2024-01-01,12.7375,
SNY,2025-01-01,11.2,
MSTR,2010-01-01,27.5625,
MSTR,2011-01-01,17.697499999999998,
MSTR,2012-01-01,11.315000000000001,
MSTR,2013-01-01,29.677500000000002,
MSTR,2014-01-01,3.935,
MSTR,2015-01-01,19.935000000000002,
MSTR,2016-01-01,20.705,
MSTR,2017-01-01,12.275,
MSTR,2018-01-01,0.9625,
MSTR,2019-01-01,4.8100000000000005,
MSTR,2020-01-01,3.235,
MSTR,2021-01-01,-95.8175,
MSTR,2022-01-01,-1756.3775,
MSTR,2023-01-01,314.13,
MSTR,2024-01-01,-11.84,
MSTR,2025-01-01,-9.415000000000001,
WELL,2010-01-01,3.015,
WELL,2011-01-01,2.36,
WELL,2012-01-01,2.1525,
WELL,2013-01-01,1.5225,
WELL,2014-01-01,1.8975,
WELL,2015-01-01,5.3875,
WELL,2016-01-01,5.405,
WELL,2017-01-01,6.115,
WELL,2018-01-01,4.045,
WELL,2019-01-01,5.545,
WELL,2020-01-01,6.8549999999999995,
WELL,2021-01-01,3.0999999999999996,
WELL,2022-01-01,1.4225,
WELL,2023-01-01,0.9225,
WELL,2024-01-01,2.5825,
WELL,2025-01-01,3.4,
PANW,2013-01-01,-9.635,
PANW,2014-01-01,-58.934999999999995,
PANW,2015-01-01,-35.9725,
PANW,2016-01-01,-29.1225,
PANW,2017-01-01,-25.535,
PANW,2018-01-01,-18.04,
PANW,2019-01-01,-6.2275,
PANW,2020-01-01,-19.58,
PANW,2021-01-01,-51.99,
PANW,2022-01-01,-79.465,
PANW,2023-01-01,30.8075,
PANW,2024-01-01,72.845,
PANW,2025-01-01,21.479999999999997,
ADI,2010-01-01,18.935,
ADI,2011-01-01,25.81,
ADI,2012-01-01,18.16,
ADI,2013-01-01,15.1025,
ADI,2014-01-01,14.43,
ADI,2015-01-01,13.925,
ADI,2016-01-01,14.26,
ADI,2017-01-01,12.295,
ADI,2018-01-01,12.2075,
ADI,2019-01-01,13.005,
ADI,2020-01-01,9.9375,
ADI,2021-01-01,11.5925,
ADI,2022-01-01,5.7275,
ADI,2023-01-01,9.715,
ADI,2024-01-01,5.8025,
ADI,2025-01-01,4.825,
NKE,2010-01-01,20.2,
NKE,2011-01-01,21.925,
NKE,2012-01-01,21.5075,
NKE,2013-01-01,24.259999999999998,
NKE,2014-01-01,25.122500000000002,
NKE,2015-01-01,27.6625,
NKE,2016-01-01,30.322499999999998,
NKE,2017-01-01,32.667500000000004,
NKE,2018-01-01,19.305,
NKE,2019-01-01,47.2125,
NKE,2020-01-01,34.0925,
NKE,2021-01-01,45.13249999999999,
NKE,2022-01-01,39.4225,
NKE,2023-01-01,35.595,
