Ticker,Date,StockPrice,NetEPS,PE
BUD,2023-01-01,58.787499999999994,,18.9375
BUD,2024-01-01,57.6725,,20.325
BUD,2025-01-01,60.965,,17.67
MELI,2010-01-01,58.04,,54.6575
MELI,2011-01-01,71.475,,46.985
MELI,2012-01-01,81.69,,39.705
MELI,2013-01-01,109.73,,45.4175
MELI,2014-01-01,105.425,,56.097500000000004
MELI,2015-01-01,116.4625,,70.36500000000001
MELI,2016-01-01,149.37,,50.65
MELI,2017-01-01,258.805,,301.6225
MELI,2018-01-01,322.16,,0.0
MELI,2019-01-01,560.6675,,955.89
MELI,2020-01-01,1058.0125,,0.0
MELI,2021-01-01,1514.4325000000001,,463.525
MELI,2022-01-01,875.0925,,175.4
MELI,2023-01-01,1335.52,,83.14
MELI,2024-01-01,1726.94,,61.1375
MELI,2025-01-01,2299.773333333333,,70.64666666666666
IBN,2010-01-01,6.8825,,20.77
IBN,2011-01-01,6.2325,,11.9075
IBN,2012-01-01,5.99,,13.4675
IBN,2013-01-01,5.9975000000000005,,12.74
IBN,2014-01-01,7.75,,15.343333333333334
IBN,2015-01-01,7.7924999999999995,,13.7125
IBN,2016-01-01,6.327500000000001,,14.8125
IBN,2017-01-01,8.4275,,20.497500000000002
IBN,2018-01-01,8.625,,44.807500000000005
IBN,2019-01-01,11.75,,62.25666666666667
IBN,2020-01-01,11.036666666666667,,29.453333333333333
IBN,2021-01-01,17.5225,,24.24
IBN,2022-01-01,19.5,,19.7175
IBN,2023-01-01,22.62,,18.385
IBN,2024-01-01,28.6175,,19.725
IBN,2025-01-01,32.666666666666664,,20.416666666666668
CMCSA,2010-01-01,6.8925,,10.745000000000001
CMCSA,2011-01-01,8.7325,,12.49
CMCSA,2012-01-01,12.7325,,13.065
CMCSA,2013-01-01,17.3625,,14.065
CMCSA,2014-01-01,21.0675,,14.1275
CMCSA,2015-01-01,22.8275,,13.93
CMCSA,2016-01-01,26.41,,15.565
CMCSA,2017-01-01,31.8125,,13.64
CMCSA,2018-01-01,28.535,,7.095
CMCSA,2019-01-01,36.7725,,13.6425
CMCSA,2020-01-01,37.620000000000005,,15.9725
CMCSA,2021-01-01,48.3025,,17.17
CMCSA,2022-01-01,34.1,,18.8475
CMCSA,2023-01-01,39.2375,,18.447499999999998
CMCSA,2024-01-01,38.93,,10.14
CMCSA,2025-01-01,34.42666666666667,,10.246666666666668
MDT,2010-01-01,27.4225,,10.2725
MDT,2011-01-01,26.7125,,9.01
MDT,2012-01-01,28.69,,8.6075
MDT,2013-01-01,38.355000000000004,,10.96
MDT,2014-01-01,46.5975,,15.2275
MDT,2015-01-01,57.67,,23.677500000000002
MDT,2016-01-01,64.0875,,27.189999999999998
MDT,2017-01-01,65.2475,,21.3525
MDT,2018-01-01,71.3725,,35.335
MDT,2019-01-01,81.8225,,23.8375
MDT,2020-01-01,88.33,,26.8825
MDT,2021-01-01,108.6375,,39.9675
MDT,2022-01-01,87.385,,24.24
MDT,2023-01-01,77.5375,,26.817500000000003
MDT,2024-01-01,81.27,,26.8525
MDT,2025-01-01,88.21999999999998,,25.19333333333333
