Ticker,Year,MarketCap
UNH,2018,202041751733.33435
UNH,2019,206041506524.73813
UNH,2020,253015125195.577
UNH,2021,344255070586.1249
UNH,2022,440782698320.25226
UNH,2023,437408182440.14575
LIN,2010,29839963219.829945
LIN,2011,35984415110.1223
LIN,2012,39659986750.75766
LIN,2013,44003386568.85331
LIN,2014,49525787798.60091
LIN,2015,45462955447.05222
LIN,2016,45671312312.1857
LIN,2017,54282497528.47953
LIN,2018,66259570088.28983
LIN,2019,80413419464.813
LIN,2020,96094392040.16032
LIN,2021,131029001178.24292
LIN,2022,137527829656.3265
LIN,2023,168608443500.183
MCD,2010,33617561372.65625
MCD,2011,41060935028.35724
MCD,2012,46537982670.588356
MCD,2013,50562723886.26555
MCD,2014,51779509812.00054
MCD,2015,55805685469.707306
MCD,2016,68953657183.33119
MCD,2017,87942445194.5856
MCD,2018,100552650748.06119
MCD,2019,123055409616.31424
MCD,2020,127767264591.24564
MCD,2021,152874456819.11255
MCD,2022,168923083919.53784
MCD,2023,189844603076.03174
HSBC,2010,78971987545.26978
HSBC,2011,75727164038.47311
HSBC,2012,75361161943.15141
HSBC,2013,95677945779.24728
HSBC,2014,94443201954.46188
HSBC,2015,83497656125.81706
HSBC,2016,71998151807.69183
HSBC,2017,100691836432.16985
HSBC,2018,108980638045.33748
HSBC,2019,98730251843.74521
HSBC,2020,68164120480.89135
HSBC,2021,77372629968.74324
HSBC,2022,88016608226.21436
HSBC,2023,111582069291.75832
NVO,2010,21706483562.596478
NVO,2011,29602125627.73659
NVO,2012,38342368761.68923
NVO,2013,45321530232.629776
NVO,2014,59990710215.46256
NVO,2015,73716979984.06284
NVO,2016,68030851209.23268
NVO,2017,61919494297.98908
NVO,2018,71422314679.04909
NVO,2019,77619983838.3099
NVO,2020,100617398446.34607
NVO,2021,140667505193.58176
NVO,2022,176349188973.83716
NVO,2023,277429858913.3533
INTU,2010,9647004753.302782
INTU,2011,12465310195.811586
INTU,2012,14545031782.595737
INTU,2013,16406480441.875105
INTU,2014,20728461926.06526
INTU,2015,25002287038.065083
INTU,2016,27677055427.627773
INTU,2017,35562242297.14641
INTU,2018,52088706864.49159
INTU,2019,68542641175.00631
INTU,2020,81750600079.32637
INTU,2021,134635070145.14308
INTU,2022,119793041201.56297
INTU,2023,131296772305.51088
SHEL,2010,79415548704.73886
SHEL,2011,99048359516.7324
SHEL,2012,103303480998.21585
SHEL,2013,104781573860.26027
SHEL,2014,123946588682.31569
SHEL,2015,99568166205.591
SHEL,2016,93529727818.54483
SHEL,2017,114451106570.71608
SHEL,2018,141683127748.51633
SHEL,2019,138641395510.94406
SHEL,2020,85715542108.89871
SHEL,2021,104233977858.06778
SHEL,2022,139173047042.49225
SHEL,2023,166028407576.06754
RTX,2010,42120065558.56672
RTX,2011,48243833044.532
RTX,2012,48555745253.817
RTX,2013,62832032199.9256
RTX,2014,72555144541.99553
RTX,2015,70891814110.99553
RTX,2016,68799815104.75397
RTX,2017,81587953139.83316
RTX,2018,91426033094.43774
RTX,2019,96600715473.67758
RTX,2020,80957715268.98567
RTX,2021,100590069926.08879
RTX,2022,116992675255.8257
RTX,2023,115137924309.462
GS,2010,35982161179.59368
GS,2011,30597555135.924675
GS,2012,26308402749.466522
GS,2013,37772792976.85421
GS,2014,42378720741.24024
GS,2015,47758796804.5157
GS,2016,42501451059.11471
GS,2017,59467594559.80092
GS,2018,60078893062.81344
GS,2019,53596380440.44258
GS,2020,55413945988.708954
GS,2021,99793907454.9429
GS,2022,93432317966.5504
GS,2023,96699819541.07076
BX,2010,4345675774.303709
BX,2011,5622994525.336311
BX,2012,5378878347.158203
BX,2013,8989008634.967077
BX,2014,13481996374.140783
BX,2015,16579674829.717363
BX,2016,12869312346.682959
BX,2017,16632409506.4324
BX,2018,18973618273.143993
BX,2019,26053301954.875404
BX,2020,33945749844.61945
BX,2021,65777825288.57639
BX,2022,68751426850.99106
BX,2023,67315487086.80469
AXP,2010,23383755483.596165
AXP,2011,27096554702.51812
AXP,2012,32444117664.401325
AXP,2013,42777709947.927086
AXP,2014,53285705312.269806
AXP,2015,46842301763.51262
AXP,2016,39015930510.629776
AXP,2017,52689802727.29028
AXP,2018,63769573312.24705
AXP,2019,74550126511.62202
AXP,2020,67963576956.616516
AXP,2021,103729420829.78162
AXP,2022,107705841168.86456
AXP,2023,110483930445.3361
DIS,2010,52635718262.4998
DIS,2011,59207146457.83673
DIS,2012,73605246730.71547
DIS,2013,101178370795.04616
DIS,2014,137598288284.82776
DIS,2015,178341364877.75113
DIS,2016,163270288261.76096
DIS,2017,180847380187.82993
DIS,2018,187243180138.1876
DIS,2019,229297185710.88556
DIS,2020,223535196821.16635
DIS,2021,311045489825.9839
DIS,2022,202348433352.19928
DIS,2023,163144240162.17117
MRK,2010,52009009591.162796
MRK,2011,51490803781.27714
MRK,2012,65140799012.2145
MRK,2013,76104827839.54842
MRK,2014,97026204652.81516
MRK,2015,98971595578.21515
MRK,2016,103990322265.70273
MRK,2017,115928967153.58932
MRK,2018,123422939302.25215
MRK,2019,162593649104.98813
MRK,2020,164566278335.3637
MRK,2021,167516001531.56607
MRK,2022,205089896073.99496
MRK,2023,254243860066.28528
T,2010,48495692872.098076
T,2011,57712557776.44869
T,2012,71670248385.70262
T,2013,80097218005.79146
T,2014,83786126750.75954
T,2015,88034627445.78111
T,2016,109778867015.17952
T,2017,114734042066.14268
T,2018,106244354785.75766
T,2019,117849491851.60301
T,2020,116625543197.53047
T,2021,115360558914.90836
T,2022,110922617888.67822
T,2023,105307149732.75568
PEP,2010,56524929924.37227
PEP,2011,58958533509.7114
PEP,2012,63782452150.31478
PEP,2013,77228897920.35857
PEP,2014,87803554213.98257
PEP,2015,98432796565.32535
PEP,2016,108529603742.01897
PEP,2017,121654574969.23584
PEP,2018,122788031414.20819
PEP,2019,146542223211.26672
PEP,2020,160570643760.72708
PEP,2021,182595415421.11243
PEP,2022,214176552979.65808
PEP,2023,226885984194.5907
SHOP,2015,3733598931.65804
SHOP,2016,4068744582.5705147
SHOP,2017,10593225904.031595
SHOP,2018,17220850220.03808
SHOP,2019,34253967941.676933
SHOP,2020,97674160912.53128
SHOP,2021,165020228649.23874
SHOP,2022,58668976856.24333
SHOP,2023,68701247535.4619
CAT,2010,22161946151.59324
CAT,2011,31637876738.36891
CAT,2012,31257989432.509872
