Ticker,Date,DebtToEquity
BN,2021-01-01,1.8425
BN,2022-01-01,2.065
BN,2023-01-01,1.98
BN,2024-01-01,1.96
BN,2025-01-01,2.09
HOOD,2019-01-01,-41.64
HOOD,2020-01-01,-49.9075
HOOD,2021-01-01,-4.4875
HOOD,2022-01-01,2.2625
HOOD,2023-01-01,2.64
HOOD,2024-01-01,4.4475
HOOD,2025-01-01,2.46
AMT,2010-01-01,1.6775
AMT,2011-01-01,2.2424999999999997
AMT,2012-01-01,2.6275
AMT,2013-01-01,3.6175
AMT,2014-01-01,4.105
AMT,2015-01-01,2.78
AMT,2016-01-01,3.33
AMT,2017-01-01,3.5774999999999997
AMT,2018-01-01,4.3875
AMT,2019-01-01,5.9125
AMT,2020-01-01,9.1275
AMT,2021-01-01,7.39
AMT,2022-01-01,5.1775
AMT,2023-01-01,4.735
AMT,2024-01-01,5.265000000000001
AMT,2025-01-01,5.165
BAM,2022-01-01,0.0
BAM,2023-01-01,0.46
BAM,2024-01-01,0.4025
BAM,2025-01-01,0.67
DUK,2010-01-01,1.62
DUK,2011-01-01,1.65
DUK,2012-01-01,1.7525
DUK,2013-01-01,1.79
DUK,2014-01-01,1.8625
DUK,2015-01-01,2.0125
DUK,2016-01-01,2.14
DUK,2017-01-01,2.275
DUK,2018-01-01,2.3175
DUK,2019-01-01,2.3375
DUK,2020-01-01,2.3675
DUK,2021-01-01,2.3024999999999998
DUK,2022-01-01,2.3725
DUK,2023-01-01,2.5
DUK,2024-01-01,2.5975
DUK,2025-01-01,2.635
CDNS,2010-01-01,7.5825
CDNS,2011-01-01,4.245
CDNS,2012-01-01,2.355
CDNS,2013-01-01,1.2925
CDNS,2014-01-01,1.2025000000000001
CDNS,2015-01-01,0.8325
CDNS,2016-01-01,1.3675000000000002
CDNS,2017-01-01,1.43
CDNS,2018-01-01,1.01
CDNS,2019-01-01,0.7725
CDNS,2020-01-01,0.71
CDNS,2021-01-01,0.6025
CDNS,2022-01-01,0.74
CDNS,2023-01-01,0.735
CDNS,2024-01-01,0.8075
CDNS,2025-01-01,0.895
VRTX,2010-01-01,1.53
VRTX,2011-01-01,2.395
VRTX,2012-01-01,1.2225
VRTX,2013-01-01,0.94
VRTX,2014-01-01,0.9525
VRTX,2015-01-01,1.2475
VRTX,2016-01-01,1.185
VRTX,2017-01-01,0.755
VRTX,2018-01-01,0.5549999999999999
VRTX,2019-01-01,0.395
VRTX,2020-01-01,0.37
VRTX,2021-01-01,0.3325
VRTX,2022-01-01,0.3025
VRTX,2023-01-01,0.3125
VRTX,2024-01-01,0.36
VRTX,2025-01-01,0.395
TT,2010-01-01,1.685
TT,2011-01-01,1.535
TT,2012-01-01,1.5425
TT,2013-01-01,1.62
TT,2014-01-01,1.705
TT,2015-01-01,1.9925
TT,2016-01-01,1.6925
TT,2017-01-01,1.58
TT,2018-01-01,1.5725
TT,2019-01-01,1.8325
TT,2020-01-01,1.895
TT,2021-01-01,1.8375
TT,2022-01-01,1.9975
TT,2023-01-01,1.8875
TT,2024-01-01,1.785
TT,2025-01-01,1.6749999999999998
WM,2010-01-01,2.295
WM,2011-01-01,2.3899999999999997
WM,2012-01-01,2.4825
WM,2013-01-01,2.4925
WM,2014-01-01,2.7175000000000002
WM,2015-01-01,2.8
WM,2016-01-01,2.915
WM,2017-01-01,2.7675
WM,2018-01-01,2.63
WM,2019-01-01,2.8925
WM,2020-01-01,2.8225
WM,2021-01-01,2.99
WM,2022-01-01,3.2775
WM,2023-01-01,3.625
WM,2024-01-01,3.7350000000000003
WM,2025-01-01,4.055
PH,2010-01-01,1.1275
PH,2011-01-01,1.0025
PH,2012-01-01,1.135
PH,2013-01-01,1.165
PH,2014-01-01,1.035
PH,2015-01-01,1.4275
PH,2016-01-01,1.5474999999999999
PH,2017-01-01,1.975
PH,2018-01-01,1.6325
PH,2019-01-01,2.0125
PH,2020-01-01,2.055
PH,2021-01-01,1.5074999999999998
PH,2022-01-01,2.0300000000000002
PH,2023-01-01,1.8625
PH,2024-01-01,1.355
PH,2025-01-01,1.16
BMY,2010-01-01,1.0025
BMY,2011-01-01,0.985
BMY,2012-01-01,1.305
BMY,2013-01-01,1.545
BMY,2014-01-01,1.1949999999999998
BMY,2015-01-01,1.1275
BMY,2016-01-01,1.1425
BMY,2017-01-01,1.4075
BMY,2018-01-01,1.53
BMY,2019-01-01,1.8599999999999999
BMY,2020-01-01,1.7075
BMY,2021-01-01,2.0
BMY,2022-01-01,2.11
BMY,2023-01-01,2.0625
BMY,2024-01-01,4.657500000000001
BMY,2025-01-01,2.15
MCO,2010-01-01,-7.032500000000001
MCO,2011-01-01,-53.32
MCO,2012-01-01,19.39
MCO,2013-01-01,9.895
MCO,2014-01-01,33.35
MCO,2015-01-01,-30.395000000000003
MCO,2016-01-01,-12.852500000000001
MCO,2017-01-01,-38.315
MCO,2018-01-01,16.23
MCO,2019-01-01,16.98
MCO,2020-01-01,8.32
MCO,2021-01-01,4.355
MCO,2022-01-01,4.6425
MCO,2023-01-01,3.4225
MCO,2024-01-01,2.9675000000000002
MCO,2025-01-01,2.84
DELL,2014-01-01,0.0
DELL,2015-01-01,3.9
DELL,2016-01-01,23.1425
DELL,2017-01-01,5.9025
DELL,2018-01-01,6.72
DELL,2019-01-01,-30.3525
DELL,2020-01-01,29.355
DELL,2021-01-01,12.105
DELL,2022-01-01,-39.435
DELL,2023-01-01,-31.695
DELL,2024-01-01,-34.7375
DELL,2025-01-01,-44.115
CTAS,2010-01-01,0.5974999999999999
CTAS,2011-01-01,0.865
CTAS,2012-01-01,0.9625
CTAS,2013-01-01,0.985
CTAS,2014-01-01,1.035
CTAS,2015-01-01,1.1975
CTAS,2016-01-01,1.1425
CTAS,2017-01-01,1.5825
CTAS,2018-01-01,1.3325
CTAS,2019-01-01,1.4675
CTAS,2020-01-01,1.3325
CTAS,2021-01-01,1.2625
CTAS,2022-01-01,1.49
CTAS,2023-01-01,1.2225
CTAS,2024-01-01,1.17
CTAS,2025-01-01,1.0950000000000002
RELX,2010-01-01,0.01
RELX,2011-01-01,0.01
RELX,2012-01-01,0.005
RELX,2013-01-01,1.665
RELX,2014-01-01,4.15
RELX,2015-01-01,4.4350000000000005
RELX,2016-01-01,4.65
RELX,2017-01-01,4.805
RELX,2018-01-01,5.0
RELX,2019-01-01,5.305
RELX,2020-01-01,5.9350000000000005
RELX,2021-01-01,3.9099999999999997
RELX,2022-01-01,3.21
RELX,2023-01-01,3.425
RELX,2024-01-01,3.4699999999999998
RELX,2025-01-01,5.53
RBLX,2018-01-01,0.0
RBLX,2019-01-01,-7.73
RBLX,2020-01-01,-2.2375
RBLX,2021-01-01,4.88
RBLX,2022-01-01,10.68
