Ticker,Year,Volume
CRM,2013,5826971.825396826
CRM,2014,5496052.380952381
CRM,2015,4153068.253968254
CRM,2016,5755302.777777778
CRM,2017,4409569.322709164
CRM,2018,5824572.908366534
CRM,2019,5646915.476190476
CRM,2020,7523496.442687747
CRM,2021,6162379.761904762
CRM,2022,7677033.067729084
CRM,2023,6465235.2
ABT,2010,16316886.345238095
ABT,2011,17734964.80952381
ABT,2012,14492313.46
ABT,2013,8065756.746031746
ABT,2014,6015338.888888889
ABT,2015,5828200.396825396
ABT,2016,9070165.476190476
ABT,2017,6613708.366533864
ABT,2018,6275388.844621514
ABT,2019,5178551.587301588
ABT,2020,6703762.055335969
ABT,2021,5356153.571428572
ABT,2022,5518127.888446216
ABT,2023,5171784.0
AZN,2010,3203393.6507936507
AZN,2011,3030013.492063492
AZN,2012,2901267.2
AZN,2013,3584209.523809524
AZN,2014,5945058.73015873
AZN,2015,2872836.111111111
AZN,2016,5645467.857142857
AZN,2017,4573462.151394422
AZN,2018,4123647.80876494
AZN,2019,3954471.8253968256
AZN,2020,6006134.782608695
AZN,2021,8493917.063492063
AZN,2022,6573614.342629482
AZN,2023,5042076.8
MS,2010,17100776.587301586
MS,2011,22597456.34920635
MS,2012,24054494.4
MS,2013,16719520.634920634
MS,2014,10647685.317460317
MS,2015,10793157.53968254
MS,2016,14486742.857142856
MS,2017,9268423.505976096
MS,2018,10421967.729083665
MS,2019,10358328.174603175
MS,2020,13608032.015810277
MS,2021,9742189.682539683
MS,2022,8815162.948207172
MS,2023,7697518.4
NVS,2010,3955902.0396825396
NVS,2011,3892218.277777778
NVS,2012,2441925.856
NVS,2013,1606833.630952381
NVS,2014,1677263.865079365
NVS,2015,1994515.1746031747
NVS,2016,2527051.345238095
NVS,2017,2443513.980079681
NVS,2018,2235162.123505976
NVS,2019,2087301.5674603174
NVS,2020,2088763.2411067195
NVS,2021,2026009.9206349207
NVS,2022,2355113.147410359
NVS,2023,1783711.2
UNH,2010,9987091.26984127
UNH,2011,7491096.428571428
UNH,2012,6411194.0
UNH,2013,5427813.492063492
UNH,2014,4211315.476190476
UNH,2015,4220439.682539683
UNH,2016,3487303.9682539683
UNH,2017,3081366.533864542
UNH,2018,3296788.047808765
UNH,2019,4349676.984126984
UNH,2020,4029517.3913043477
UNH,2021,2961595.634920635
UNH,2022,3098387.6494023902
UNH,2023,3272940.4
LIN,2010,1826873.4126984128
LIN,2011,1675238.492063492
LIN,2012,1135980.0
LIN,2013,1111032.5396825396
LIN,2014,1136904.365079365
LIN,2015,1542520.238095238
LIN,2016,1336140.873015873
LIN,2017,1365544.6215139441
LIN,2018,2373998.0079681273
LIN,2019,1595049.2063492064
LIN,2020,2101756.5217391304
LIN,2021,1698936.507936508
LIN,2022,2094937.8486055776
LIN,2023,1774308.0
MCD,2010,6662064.285714285
MCD,2011,6752351.19047619
MCD,2012,5954634.0
MCD,2013,4938763.888888889
MCD,2014,5485428.968253968
MCD,2015,6505149.603174604
MCD,2016,5503292.063492063
MCD,2017,3421550.996015936
MCD,2018,4057839.043824701
MCD,2019,3316913.095238095
MCD,2020,3884775.4940711465
MCD,2021,2710660.714285714
MCD,2022,2950656.972111554
MCD,2023,2697168.8
