Ticker,StockPrice_x,NetEPS,PE,Year,StockPrice_y,BookValuePerShare,PB,DividendYield,MarketCap,ROE,NetIncome,ROA,TotalAssets,Volume,DebtToEquity
ADI,103.2025,,33.1275,2020,103.2025,,3.235,9.055466474990992e-05,53210836949.6238,9.9375,,5.4275,,2935168.37944664,0.8225
ADI,148.9925,,37.0,2021,148.9925,,3.8425,7.087967413264235e-05,76165255437.1672,11.5925,,6.6175,,3512104.365079365,0.6725
ADI,149.5225,,40.0825,2022,149.5225,,2.095,7.842572364901258e-05,74443791143.69768,5.7275,,4.0825,,3620189.243027888,0.3725
ADI,170.4725,,24.675,2023,170.4725,,2.37,7.810536690819954e-05,87071693585.8418,9.715,,7.065,,3350818.8,0.375
ADI,207.8525,,53.657500000000006,2024,207.8525,,2.9225,,,5.8025,,4.2225,,,0.375
ADI,209.06000000000003,,60.18333333333333,2025,209.06000000000003,,2.9600000000000004,,,4.825,,3.52,,,0.36
ADP,26.84,,10.8875,2010,26.84,,2.3175,0.0001819302447954,10655349669.838877,21.7975,,4.1775,,3640864.158730159,4.452500000000001
ADP,32.7875,,12.8375,2011,32.7875,,2.64,0.0001571915731098,13108175287.1741,21.3875,,3.7475,,3365663.6785714286,4.5825
ADP,37.275,,13.1825,2012,37.275,,2.865,0.0001556432099815,14831866442.962786,22.2825,,4.1850000000000005,,2350734.764,4.285
ADP,48.5825,,16.6125,2013,48.5825,,3.725,0.0001314704462983,19018538588.73031,22.4525,,4.17,,2058137.349206349,4.5525
ADP,58.005,,19.0425,2014,58.005,,4.59,0.0001199339922227,23082764915.45507,23.345,,4.2675,,1875133.373015873,4.859999999999999
ADP,66.88,,21.6875,2015,66.88,,6.6425,0.0001185194326102,27500849097.66407,28.315,,4.045,,1888378.5714285716,6.745
ADP,77.175,,22.575000000000003,2016,77.175,,8.275,0.0001149594176611,29757490545.993984,35.59,,3.7625,,1901623.8095238092,8.9125
ADP,91.4075,,23.6025,2017,91.4075,,10.195,0.0001025687663183,36311074295.19481,45.6175,,4.635,,2799348.207171315,9.0975
ADP,114.59,,29.3575,2018,114.59,,11.0325,9.631975999405564e-05,45968737210.82772,45.9325,,4.805,,2236887.6494023902,7.8225
ADP,145.1225,,28.195,2019,145.1225,,11.78,9.173760874516129e-05,56967572939.76823,44.435,,5.395,,1910642.4603174604,7.285
ADP,135.95499999999998,,23.59,2020,135.95499999999998,,10.155,0.000112233685558,55454791274.49635,44.852500000000006,,5.7825,,2245910.276679842,6.5925
ADP,192.445,,31.205,2021,192.445,,15.0775,8.092159601659953e-05,74705037577.99432,46.525,,5.1725,,1640159.9206349207,9.275
ADP,212.235,,29.7575,2022,212.235,,28.0875,8.005112590095593e-05,86872939671.52475,75.025,,4.9425,,1799486.8525896417,17.2425
ADP,219.945,,26.64,2023,219.945,,24.34,9.414039600000796e-05,88947260106.97806,102.1175,,6.335,,1757076.4,13.5375
ADP,259.8325,,28.0275,2024,259.8325,,21.6325,,,85.815,,6.7425,,,10.925
ADP,305.3,,36.69,2025,303.75,,21.08,,,74.69999999999999,,7.215,,,8.135
AJG,18.1575,,13.2275,2010,18.1575,,1.9175,0.0002778047378512,4520175833.9016285,15.315,,4.2475000000000005,,494846.8253968254,2.47
AJG,21.595,,15.37,2011,21.595,,2.02,0.000246302404781,5404608697.7669735,13.7325,,3.9875,,662676.9841269841,2.53
AJG,26.755000000000003,,17.245,2012,26.755000000000003,,2.1475,0.000201910514328,6818210282.0535,13.4525,,3.93,,587488.0,2.2925
AJG,34.4575,,18.5075,2013,34.4575,,2.4325,0.0001676784530822,8597854996.25293,13.88,,4.345000000000001,,644253.9682539683,2.1975
AJG,37.7725,,18.3825,2014,37.7725,,1.9975,0.0001508341969853,9559189700.92406,12.095,,3.785,,833599.6031746032,2.1425
AJG,36.805,,19.5575,2015,36.805,,1.79,0.0001556418178267,9749968464.577496,9.365,,3.1525,,1001580.5555555556,1.9275
AJG,42.135,,19.0875,2016,42.135,,2.035,0.0001497780185239,10270489224.781134,10.5475,,3.5425,,1218665.4761904762,2.0425
AJG,53.0525,,21.4475,2017,53.0525,,2.3775,0.000117876103611,13306687517.673649,13.3975,,4.255,,892458.5657370518,2.23
AJG,64.2625,,18.605,2018,64.2625,,2.575,0.0001014874537554,16378727020.678652,13.0975,,3.795,,991003.5856573704,2.545
AJG,81.5325,,22.4975,2019,81.5325,,3.0375,8.407647360425228e-05,20351834064.75353,14.2125,,3.82,,943605.5555555556,2.8275
AJG,96.725,,24.85,2020,96.725,,3.2575000000000003,7.17229725209008e-05,24352590351.313854,14.0775,,3.635,,1027982.6086956522,2.8225
AJG,140.1975,,31.46,2021,140.1975,,3.5675,5.565387036992223e-05,35023555186.0938,12.7525,,3.6075,,993904.761904762,2.5025
AJG,169.6925,,34.3875,2022,169.6925,,4.005,4.7846848837658585e-05,42982399934.712585,12.04,,2.8675,,926808.3665338644,3.4825
AJG,212.465,,42.47,2023,212.465,,4.3950000000000005,4.171553376728436e-05,54087013175.2469,11.2775,,2.4175,,857310.0,3.9025
AJG,266.805,,49.2,2024,266.805,,4.54,,,10.3,,2.09,,,3.67
AJG,317.275,,45.915,2025,317.275,,3.635,,,9.39,,2.41,,,2.32
AMAT,9.785,,16.990000000000002,2010,9.785,,1.7875,0.0001130309038325,7910772432.177637,6.5,,4.575,,22164453.17460317,0.4375
AMAT,11.1775,,9.07,2011,11.1775,,1.7725,0.0001212435572641,8416068823.295587,21.495,,14.45,,17729851.984126985,0.5325
AMAT,9.385000000000002,,43.98,2012,9.385000000000002,,1.43,0.0001505473073867,7566138135.740645,11.8075,,7.465,,13395612.0,0.61
AMAT,13.0375,,18.16,2013,13.0375,,2.235,0.000119992631487,10408006836.35348,-1.8925,,-1.145,,12728425.793650793,0.6825
AMAT,17.1,,26.095,2014,17.1,,2.745,8.782260398979416e-05,14568241895.023508,11.6275,,6.9025,,13404665.07936508,0.6775
AMAT,16.9225,,16.314999999999998,2015,16.9225,,2.55,9.303568041993834e-05,13894674116.401592,16.0425,,9.6125,,17108645.634920634,0.7275
AMAT,21.0775,,16.705,2016,21.0775,,3.31,7.09396813972442e-05,17912343293.413883,19.8975,,10.4525,,12904696.825396825,0.97
AMAT,40.09,,15.45,2017,40.09,,5.01,3.926799405043181e-05,32631430151.20973,36.3625,,17.505,,10091291.633466136,1.1175
AMAT,42.56,,14.195,2018,42.56,,5.845,6.907589841572192e-05,34336323660.410385,39.2125,,16.71,,13584476.89243028,1.535
AMAT,43.895,,13.5675,2019,43.895,,4.985,7.70854714164132e-05,34966798899.15858,40.3525,,16.6925,,8955157.53968254,1.31
AMAT,55.182500000000005,,16.42,2020,55.182500000000005,,5.3575,5.505683207869818e-05,47458403802.9455,35.6375,,15.5225,,8290430.830039525,1.255
AMAT,122.085,,23.275,2021,122.085,,9.235,2.8582648116969725e-05,101935827412.73167,43.4875,,20.885,,8139262.698412699,1.045
AMAT,107.5825,,14.5675,2022,107.5825,,7.8225,3.766530278750296e-05,85696410670.57072,55.31,,25.9875,,8005053.386454184,1.1749999999999998
AMAT,124.8075,,16.244999999999997,2023,124.8075,,7.0875,3.775997209491926e-05,104654705680.01305,48.99,,23.4125,,5902540.4,1.01
AMAT,187.265,,21.5525,2024,187.265,,8.405,,,42.5425,,23.0225,,,0.7925
AMAT,170.95333333333335,,21.33666666666667,2025,170.95333333333335,,7.31,,,34.91,,19.525,,,0.78
AMD,7.97,,7.4525,2010,7.97,,6.9525,0.0,12871375676.86504,376.155,,15.315,,25842271.42857143,5.385
AMD,6.5175,,6.855,2011,6.5175,,2.7825,0.0,11586112063.043877,60.575,,15.2475,,21938331.746031743,2.16
AMD,4.88,,0.0,2012,4.88,,3.645,0.0,8229551800.911272,-72.2975,,-16.9875,,20718758.8,4.3375
AMD,3.5775,,0.0,2013,3.5775,,6.02,0.0,5482881090.874737,-102.7775,,-13.982500000000002,,25108144.84126984,8.4825
AMD,3.5700000000000003,,44.7325,2014,3.5700000000000003,,7.1000000000000005,0.0,5942943383.52258,-14.452499999999995,,-1.4225000000000003,,23721249.206349205,10.185
AMD,2.4175,,0.0,2015,2.4175,,24.887500000000003,0.0,3784050860.3517904,249.62,,-20.03,,13634672.61904762,39.1425
AMD,6.56,,0.0,2016,6.56,,6.932499999999999,0.0,8527895738.78325,553.84,,-15.315,,30708605.55555556,-0.1474999999999995
AMD,12.515,,85.6675,2017,12.515,,25.5475,0.0,20142160666.02128,-91.1525,,-7.7575,,65161449.800796814,6.2525
AMD,18.5975,,62.0675,2018,18.5975,,18.0825,0.0,27936383466.135853,29.3275,,5.944999999999999,,84610999.20318726,3.3475
AMD,32.685,,146.54500000000002,2019,32.685,,16.6525,0.0,48589570320.04691,15.3725,,5.1775,,66301094.047619045,1.495
AMD,67.94749999999999,,90.1975,2020,67.94749999999999,,20.1875,0.0,106490315949.48232,32.5275,,16.9625,,61573043.87351779,0.8200000000000001
AMD,104.8075,,38.6475,2021,104.8075,,17.8775,0.0,164143575052.1722,55.7675,,35.0475,,51250906.34920635,0.5700000000000001
AMD,78.485,,46.08,2022,78.485,,2.3025,0.0,147496118620.06857,8.825,,6.8825,,91416127.09163348,0.225
AMD,115.5375,,391.61,2023,115.5375,,3.3725,0.0,167200173003.93152,0.65,,0.5275,,61603460.0,0.23
AMD,156.8925,,183.27,2024,156.8925,,4.4775,,,2.64,,2.175,,,0.2075
