Ticker,Year,PE,PB,ROE,ROA,DebtToEquity,DividendYield,MarketCap,Volume,Value_Score,Quality_Score,Risk_Score,Total_Score,Rank
MDT,2017,21.3525,1.7575,8.4925,4.3475,0.9375,0.000107807,84557422664.57529,4919568.127,0.5,0.4,0.6,0.48000000000000004,7
RTX,2017,9.98,1.6275,16.855,5.515,2.09,0.000111961,81587953139.83316,4830532.824701196,0,0.2,0,0.08,17
NVO,2017,16.8975,3.7525,86.335,40.307500000000005,1.1275,0.000141022,61919494297.98908,4056114.741035857,0.39999999999999997,0.7,0.19999999999999996,0.4799999999999999,8
UNP,2017,14.785,3.745,29.7475,10.685,1.76,0.000105384,55179081948.400246,3655928.685258964,0.1,1,0,0.44,10
EMR,2017,21.975,3.995,18.9275,8.005,1.29,0.000154457,28157479367.50313,3397143.426294821,0,0.4,0.6,0.28,13
T,2018,3.3375,0.5825,18.8025,6.1075,1.8925,0.000516513,106244354785.75766,48190811.15139442,0.8,1,0.8,0.8800000000000001,1
AVGO,2018,7.8375,2.7225,39.215,20.0925,0.8275,0.000221965,91242509860.84505,41893896.41434263,0.8,1,0.8,0.8800000000000001,1
INTC,2018,14.005,2.6825,21.4825,11.965,0.785,0.000115867,182657790481.8897,29401394.42231076,0,0.9,0,0.36000000000000004,13
CMCSA,2018,7.095,1.8175,30.77,10.8425,1.9025,0.000124318,110069973197.37396,24837356.175298806,0.8,1,0.8,0.8800000000000001,1
PFE,2018,9.4175,2.3275,28.9725,11.8175,1.38,0.000192719,1.537E+11,23837887.581673305,0.4,1,0.6,0.68,5
XOM,2018,11.2325,1.215,11.0125,6.1125,0.7825,0.000223972,245763476899.00815,13635874.103585657,0.6000000000000001,0.6,0.8,0.6400000000000001,6
PG,2018,18.0125,3.2225,18.265,8.0975,1.2575,0.00016874,160462569426.13272,9489360.956,0.19999999999999996,0.6,0,0.31999999999999995,15
MO,2018,6.6925,4.115,65.8475,22.035,2.0425,0.000359433,58814290421.47343,8446931.075697212,0.7,0.4,0.8,0.6000000000000001,8
MDLZ,2018,16.5625,2.005,12.435,5.08,1.465,0.000109221,46247235061.22559,8168722.310756972,0.4,0.6,0,0.4,12
NEE,2018,8.685,1.8375,23.78,8.1525,1.6675,0.00012647,71710328777.77042,8112806.374501992,0.6000000000000001,1,0.8,0.8000000000000002,2
TSM,2018,15.2825,3.3875,23.48,17.875,0.2925,0.000170591,178116141870.7825,8042509.960159362,0,0.4,0.8,0.32000000000000006,14
DIS,2018,13.3775,3.025,24.1075,12.0425,0.9225,6.534358337944767e-05,187243180138.1876,8040158.964143426,0.7,1,0.19999999999999996,0.72,4
